Site,Point.ID,Date,Survey.number,Species - Scientific Name,Species - 4-letter Code,Count,Distance,Detected By,,,,,,,,,
Juncos,5373-4,01/20/18,2,Bubulcus ibis,CAEG,2,11-25,Sight (Visto),MOVE,,,,,,,,
Juncos,5373-4,01/20/18,2,Tyrannus dominicensis,GRAK,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Tiaris bicolor,BFGR,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Quiscalus niger,GAGR,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,2,Coereba flaveola,BANA,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Zenaida asiatica,WWDO,1,>50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Quiscalus niger,GAGR,1,>50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Quiscalus niger,GAGR,2,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Coereba flaveola,BANA,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Bubulcus ibis,CAEG,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Tyrannus dominicensis,GRAK,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Tiaris bicolor,BFGR,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Quiscalus niger,GAGR,1,0-10,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,3,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Zenaida asiatica,WWDO,1,>50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Quiscalus niger,GAGR,3,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Coereba flaveola,BANA,1,26-50,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Tiaris bicolor,BFGR,1,26-50,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Tiaris bicolor,BFGR,1,11-25,Sight (Visto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Tiaris bicolor,BFGR,1,11-25,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,4,Tyrannus dominicensis,GRAK,1,0-10,Sound (Canto),,,,,,,,,
Juncos,5373-4,01/20/18,,Brotogeris versicolurus,WWPA,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Quiscalus niger,GAGR,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Zenaida aurita,ZEND,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Tyrannus caudifasciatus,LOKI,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Zenaida aurita,ZEND,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Coereba flaveola,BANA,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,1,Coereba flaveola,BANA,2,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Melanerpes portoricensis,PRWO,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Falco sparverius,AMKE,1,26-50,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Anthracothorax dominicus,ANMA,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Falco sparverius,AMKE,1,11-25,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Tyrannus dominicensis,GRAK,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Coereba flaveola,BANA,2,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,2,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Margarops fuscatus,PETH,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Icterus portoricensis,PROR,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Zenaida aurita,ZEND,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Coereba flaveola,BANA,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Falco sparverius,AMKE,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,3,Coereba flaveola,BANA,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Quiscalus niger,GAGR,3,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Zenaida aurita,ZEND,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Margarops fuscatus,PETH,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Quiscalus niger,GAGR,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Coereba flaveola,BANA,2,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,4,Falco sparverius,AMKE,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-1,01/27/18,,Buteo jamaicensis,RTHA,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-1,01/27/18,,Ardea alba,GREG,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-2,01/27/18,1,Quiscalus niger,GAGR,2,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,1,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,1,Patagioenas squamosa,SNPI,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,1,Coereba flaveola,BANA,2,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,1,Quiscalus niger,GAGR,1,0-10,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,2,Quiscalus niger,GAGR,2,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,2,Tyrannus dominicensis,GRAK,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,2,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,2,Mimus polyglottos,NOMO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,2,Quiscalus niger,GAGR,3,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,3,Quiscalus niger,GAGR,7,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,3,Icterus portoricensis,PROR,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,3,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,3,Coereba flaveola,BANA,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,4,Quiscalus niger,GAGR,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,4,Quiscalus niger,GAGR,5,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,4,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,4,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,4,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,4,Coereba flaveola,BANA,1,0-10,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-2,01/27/18,,Petrochelidon fulva,CASW,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-2,01/27/18,,Columba livia,ROPI,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Brotogeris versicolurus,WWPA,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Zenaida aurita,ZEND,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Tyrannus dominicensis,GRAK,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Myiarchus antillarum,PRFL,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Quiscalus niger,GAGR,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Tyrannus dominicensis,GRAK,3,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,1,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Brotogeris versicolurus,WWPA,9,26-50,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Tyrannus dominicensis,GRAK,7,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Patagioenas squamosa,SNPI,1,26-50,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Myiarchus antillarum,PRFL,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Zenaida aurita,ZEND,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Margarops fuscatus,PETH,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,2,Coereba flaveola,BANA,2,0-10,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Brotogeris versicolurus,WWPA,9,26-50,Sight (Visto),10 IND,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Tyrannus dominicensis,GRAK,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Myiarchus antillarum,PRFL,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Margarops fuscatus,PETH,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Coereba flaveola,BANA,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Patagioenas squamosa,SNPI,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,3,Zenaida aurita,ZEND,1,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Quiscalus niger,GAGR,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Mimus polyglottos,NOMO,1,26-50,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Margarops fuscatus,PETH,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Todus mexicanus,PRTO,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Coereba flaveola,BANA,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Mimus polyglottos,NOMO,2,11-25,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-3,01/27/18,4,Coereba flaveola,BANA,1,0-10,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-3,01/27/18,,Setophaga discolor,PRAW,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-3,01/27/18,,#N/A,,,Fly-over/Volandos,,EGRET ROOKERY ,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Molothrus bonariensis,SHCO,1,26-50,Sight (Visto),MOVE,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Mimus polyglottos,NOMO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Myiarchus antillarum,PRFL,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Margarops fuscatus,PETH,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Melanerpes portoricensis,PRWO,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Tyrannus dominicensis,GRAK,2,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,1,Zenaida asiatica,WWDO,3,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,2,Brotogeris versicolurus,WWPA,5,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,2,Zenaida asiatica,WWDO,8,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,2,Margarops fuscatus,PETH,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,2,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Coereba flaveola,BANA,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Margarops fuscatus,PETH,2,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Quiscalus niger,GAGR,3,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Mimus polyglottos,NOMO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,3,Coereba flaveola,BANA,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,4,Brotogeris versicolurus,WWPA,2,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,4,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,4,Quiscalus niger,GAGR,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,4,Quiscalus niger,GAGR,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,4,Coereba flaveola,BANA,1,0-10,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-4,01/27/18,,Pandion haliaetus,OSPR,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-4,01/27/18,,Nyctanassa violacea,YCNH,,Fly-over/Volandos,,,,,,,,,,
Trujillo Alto,3294-4,01/27/18,,Butorides virescens,GRHE,,Fly-over/Volandos,,GRBH,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Patagioenas squamosa,SNPI,3,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Mimus polyglottos,NOMO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Crotophaga ani,SBAN,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Setophaga americana,NOPA,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Quiscalus niger,GAGR,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Tyrannus dominicensis,GRAK,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Zenaida aurita,ZEND,1,11-25,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Tyrannus dominicensis,GRAK,2,11-25,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Margarops fuscatus,PETH,1,0-10,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,1,Myiarchus antillarum,PRFL,1,0-10,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Patagioenas squamosa,SNPI,2,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Zenaida asiatica,WWDO,1,26-50,Sight (Visto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Zenaida asiatica,WWDO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Crotophaga ani,SBAN,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Myiarchus antillarum,PRFL,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Margarops fuscatus,PETH,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Melanerpes portoricensis,PRWO,1,26-50,Sound (Canto),,,,,,,,,
Trujillo Alto,3294-5,01/27/18,2,Zenaida aurita,ZEND,1,11-25,Sight (Visto),,,,,,,,,
